rank,prime,time_ns
749481,11373067,204545
963722,14883991,219293
1116579,17420317,233152
1143425,17868293,204969
2339062,38348263,227727
2446037,40217207,233796
2550312,42047539,223727
2590012,42743357,241839
2760677,45746339,214377
3522586,59292089,251294
3644183,61471301,248767
3918450,66399197,256547
4323719,73718131,237420
4369686,74553697,273135
4455067,76099537,273600
4650266,79650821,233973
4652187,79686097,269489
4939140,84916291,229235
5486735,94944893,271659
5572931,96530771,239223
5638242,97729183,255243
5921602,102950201,251563
6182687,107771011,239579
6545754,114499933,269816
6722751,117787447,239409
6897412,121038737,260651
7002785,123001903,252539
7117375,125135707,257855
7632686,134761603,219888
7830125,138462413,236514
8243122,146211979,236466
8412349,149395691,251192
8433878,149801957,276335
8537001,151746389,256842
8872648,158075167,242903
9322627,166584893,265117
9400514,168058697,231352
9929896,178092287,257819
9984828,179136491,255194
10420887,187432811,267066
10861484,195840817,263120
11088153,200174369,291003
11462812,207342643,247307
11566796,209335267,248303
11638953,210718093,252008
11747155,212793121,283384
11818532,214163023,253251
12592490,229034893,257373
12612781,229427837,261461
12732626,231731551,272975
13039449,237644731,252899
13223084,241183289,237193
13246619,241638949,254816
13255364,241807679,263273
13258271,241864897,279850
13627906,249006613,289751
13857853,253453801,279458
14111189,258358157,267535
14251903,261085571,259937
14461610,265151849,278863
14621536,268255651,256310
14772821,271196543,243137
14829493,272297293,278995
14965008,274926341,241408
15144598,278414767,238652
15248657,280439443,246142
15297332,281385011,230099
15373590,282869267,243552
15539389,286100249,257033
15580630,286906159,262372
15726579,289745021,251210
15846271,292079297,285813
15919668,293510717,279025
16185998,298705343,264790
16295509,300841663,275568
16463280,304122311,226388
17678976,327911357,270885
17687471,328078169,265095
17801717,330322103,245780
17819415,330670013,296076
17821725,330715607,265319
18100872,336192223,255376
18541234,344841247,254004
18842038,350758987,251215
18874505,351398039,259015
18885928,351623689,257692
19314139,360057149,263112
19325897,360292019,273937
19612273,365934293,274029
19881686,371251781,246222
20350336,380490037,278720
20393823,381348787,271838
20595693,385341349,279516
20687686,387161477,262466
20734115,388077511,261264
20735466,388104499,229442
20799299,389367673,279431
20997521,393294331,285631
21141788,396150571,261338
21667703,406567157,272399
21817689,409544413,256899
22017513,413507579,272596
22212243,417367351,247071
22418537,421469431,269164
22509529,423276143,267988
22579782,424667951,267864
22660148,426262951,241199
22794912,428942653,251715
22878538,430607831,257136
23004696,433118627,257983
23154474,436097509,268354
23169612,436396999,244756
23360863,440204729,286244
23552252,444008683,260632
23585394,444668173,243566
23710196,447156529,263339
23998948,452909879,285310
24257473,458063621,277884
24452793,461961139,280588
24520160,463302053,284892
24634471,465583621,246260
25020671,473295659,263882
25467781,482227157,263305
26407525,501034169,274165
27018733,513303163,259697
27309607,519137917,276840
27327648,519498647,280990
27409487,521143699,236326
27440761,521770831,268413
27469273,522345881,288629
27507198,523104391,257770
27583737,524640329,262392
27791853,528819509,261353
27881547,530618863,270322
27906119,531115373,266260
27982642,532651853,294851
28207200,537161657,263855
28286970,538765061,247495
28354441,540121559,259233
28891501,550925147,259796
30321801,579751343,272718
30421371,581759099,262099
30457156,582482413,302741
30598313,585332233,274254
30688896,587161397,306876
31118434,595828927,259195
31197307,597418747,280755
31512324,603785981,285412
31711578,607816381,272148
31908768,611809213,284896
31919284,612021547,259212
32304018,619809331,256848
32410601,621970159,255464
32722930,628290653,268683
32759059,629022973,282571
32911628,632115317,272092
32955752,633012959,264687
32957081,633039391,269670
33045235,634827667,267401
33138838,636722701,267258
33408495,642191219,263272
33452005,643071731,272004
33939299,652959247,285156
33982743,653840263,269385
34561036,665581949,302012
34840852,671267309,269631
35051343,675550657,270796
35380401,682249129,281856
35938882,693607841,306072
36135304,697602571,242080
36225496,699440449,288548
36293573,700829309,279975
36448212,703976167,283194
36518683,705413659,248829
36538873,705823093,236818
36584338,706749367,251455
36711302,709334377,291088
36773550,710606723,274841
36778156,710700559,268506
37008008,715389439,286795
37299644,721335599,281396
37348351,722328371,261560
37377045,722913031,249008
37908308,733760519,259311
38021248,736065739,287999
38056779,736792249,278666
38070423,737071303,273034
38111334,737907887,280278
38130363,738294983,248756
38306254,741879139,264487
38443384,744683347,280067
38470377,745237763,254525
39171602,759578311,278497
39181443,759779399,252910
39193448,760025257,257666
39291752,762033887,283962
39963540,775783213,271748
40410310,784926871,247922
40410437,784929647,264715
40675434,790351943,264149
40775736,792406801,279590
40821399,793343363,272233
41129652,799660091,275019
41388997,804975113,295732
42107202,819705457,295622
42183814,821277731,263199
42252391,822685849,253718
42391568,825546419,277385
42552074,828842029,269191
42586592,829550143,279989
42788181,833688853,260090
42872379,835418357,293172
43481057,847931191,263140
43547074,849284327,266079
43574070,849837679,295419
43588475,850133657,249078
43689955,852223121,269446
43914236,856834183,235794
43987989,858352421,263129
44035087,859322221,271120
44371996,866260903,264220
44415985,867163663,278366
44889267,876909749,259282
45391730,887266151,266496
45740140,894445921,269229
46079681,901448593,284268
46128325,902454697,281063
46372740,907493063,273938
46553218,911209031,271284
46554709,911239733,256660
