rank,prime,time_ns
749481,11373067,2619980
963722,14883991,3138598
1116579,17420317,3202158
1143425,17868293,3224017
2339062,38348263,4692935
2446037,40217207,4893454
2550312,42047539,4875954
2590012,42743357,4870264
2760677,45746339,5067527
3522586,59292089,5805332
3644183,61471301,5916708
3918450,66399197,6178180
4323719,73718131,6491642
4369686,74553697,6436711
4455067,76099537,6686188
4650266,79650821,6666789
4652187,79686097,6679390
4939140,84916291,6993167
5486735,94944893,7329852
5572931,96530771,7510937
5638242,97729183,7323791
5921602,102950201,7620364
6182687,107771011,7794448
6545754,114499933,8032765
6722751,117787447,8221956
6897412,121038737,8263504
7002785,123001903,8254372
7117375,125135707,8326413
7632686,134761603,8650176
7830125,138462413,8987680
8243122,146211979,9021948
8412349,149395691,9161390
8433878,149801957,9268271
8537001,151746389,9305056
8872648,158075167,9603549
9322627,166584893,9685756
9400514,168058697,9733167
9929896,178092287,10002414
9984828,179136491,9977614
10420887,187432811,10381312
10861484,195840817,10482758
11088153,200174369,10614373
11462812,207342643,10812323
11566796,209335267,10853782
11638953,210718093,10908479
11747155,212793121,10899258
11818532,214163023,11252821
12592490,229034893,11567345
12612781,229427837,12007792
12732626,231731551,11655268
13039449,237644731,11676992
13223084,241183289,11888322
13246619,241638949,12207044
13255364,241807679,11686078
13258271,241864897,11624704
13627906,249006613,11822258
13857853,253453801,11872346
14111189,258358157,12024798
14251903,261085571,12101521
14461610,265151849,12150547
14621536,268255651,12747342
14772821,271196543,12390160
14829493,272297293,12456989
14965008,274926341,12398743
15144598,278414767,12602995
15248657,280439443,12569423
15297332,281385011,12730058
15373590,282869267,12697736
15539389,286100249,12992680
15580630,286906159,12934141
15726579,289745021,12658303
15846271,292079297,13794790
15919668,293510717,12717240
16185998,298705343,12971687
16295509,300841663,12990447
16463280,304122311,13179181
17678976,327911357,13649142
17687471,328078169,13554923
17801717,330322103,13648882
17819415,330670013,13696992
17821725,330715607,13682530
18100872,336192223,14135752
18541234,344841247,13930617
18842038,350758987,14113807
18874505,351398039,14151324
18885928,351623689,14024586
19314139,360057149,14245170
19325897,360292019,14118902
19612273,365934293,14308048
19881686,371251781,14447015
20350336,380490037,14989461
20393823,381348787,14754195
20595693,385341349,14782728
20687686,387161477,14854138
20734115,388077511,15026770
20735466,388104499,14911889
20799299,389367673,14761617
20997521,393294331,14795965
21141788,396150571,14984129
21667703,406567157,15898011
21817689,409544413,15067166
22017513,413507579,15134196
22212243,417367351,15226766
22418537,421469431,15380572
22509529,423276143,15713456
22579782,424667951,15557092
22660148,426262951,15848644
22794912,428942653,16422898
22878538,430607831,15997215
23004696,433118627,15938664
23154474,436097509,15995674
23169612,436396999,15641354
23360863,440204729,15793960
23552252,444008683,15907179
23585394,444668173,15773124
23710196,447156529,16188560
23998948,452909879,15871120
24257473,458063621,16417676
24452793,461961139,16409236
24520160,463302053,16457593
24634471,465583621,16203470
25020671,473295659,16235352
25467781,482227157,16525475
26407525,501034169,17047034
27018733,513303163,16990015
27309607,519137917,17056816
27327648,519498647,17093837
27409487,521143699,16952826
27440761,521770831,17057804
27469273,522345881,17075910
27507198,523104391,17456004
27583737,524640329,17339382
27791853,528819509,17536217
27881547,530618863,17176565
27906119,531115373,17166537
27982642,532651853,17293599
28207200,537161657,17239323
28286970,538765061,17539172
28354441,540121559,17365333
28891501,550925147,17553500
30321801,579751343,17995695
30421371,581759099,17989033
30457156,582482413,18022287
30598313,585332233,19427233
30688896,587161397,20337165
31118434,595828927,18298700
31197307,597418747,18411172
31512324,603785981,18464256
31711578,607816381,18385888
31908768,611809213,18561739
31919284,612021547,19197683
32304018,619809331,19099621
32410601,621970159,18728178
32722930,628290653,18753165
32759059,629022973,18767442
32911628,632115317,18927028
32955752,633012959,18828363
32957081,633039391,19681103
33045235,634827667,18894882
33138838,636722701,18962839
33408495,642191219,18964430
33452005,643071731,18995456
33939299,652959247,19191343
33982743,653840263,19223857
34561036,665581949,19344978
34840852,671267309,19332996
35051343,675550657,19442455
35380401,682249129,19517326
35938882,693607841,19789311
36135304,697602571,20076984
36225496,699440449,19828823
36293573,700829309,19689624
36448212,703976167,19797916
36518683,705413659,19883914
36538873,705823093,19934217
36584338,706749367,20201638
36711302,709334377,20341906
36773550,710606723,20018719
36778156,710700559,20027739
