term,AC3Solver_binary_FE0,AC3Solver_binary_FE1,AC3Solver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE1,AC3Solver_dir_info_FE0,AC3Solver_dir_info_FE1,AC3Solver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE1,AC3Solver_inv_overlap_FE0,AC3Solver_inv_overlap_FE1,AC3Solver_overlap_FE0,AC3Solver_overlap_FE1,BacktrackingSolver_binary_FE0,BacktrackingSolver_binary_FE1,BacktrackingSolver_dir_expected_frac_FE0,BacktrackingSolver_dir_expected_frac_FE1,BacktrackingSolver_dir_info_FE0,BacktrackingSolver_dir_info_FE1,BacktrackingSolver_dir_target_frac_FE0,BacktrackingSolver_dir_target_frac_FE1,BacktrackingSolver_inv_overlap_FE0,BacktrackingSolver_inv_overlap_FE1,BacktrackingSolver_overlap_FE0,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_binary_FE0,ForwardCheckingSolver_binary_FE1,ForwardCheckingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE1,ForwardCheckingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE1,ForwardCheckingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE1,ForwardCheckingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE1
(Intercept),-2614439.1315585454,3.999931054899714,5940041.871035522,5940041.871035522,1293527.230277735,1293527.230277735,5940018.64419278,5940018.64419278,-9289.87613431157,-6320850028.713978,1260328.996734742,1260328.996734742,-1255575.7977682445,5.361799768446381,-5597099.399872453,-5597099.399872453,2670932.377002819,2670932.377002819,-5597077.133373318,-5597077.133373318,-104266.76741848383,29406574768.829865,743634.4473225191,743634.4473225191,-2640501.735247265,4.012317188920424,4740765.205672141,4740765.205672141,1363233.0156472074,1363233.0156472074,4740745.1786532765,4740745.1786532765,-24798.511958658088,-6519795334.39846,993076.9640700081,993076.9640700081
log(log(fiedler_value + 1) + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,2418784015.0575686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10377909018.252594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2505959572.6296864,NA,NA
log(fiedler_value + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,3446676.2925933516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-30340796.715654463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3734132.622466006,NA,NA
log(log(trace_laplacian + 1) + 1),2548096.6221496505,NA,-8762022.717379088,-8762022.717379088,-1403882.9162563586,-1403882.9162563586,-8761989.269228408,-8761989.269228408,12645.496820514354,3019111966.1192074,-1848381.2670009611,-1848381.2670009611,1213071.2417012348,NA,8247984.938263735,8247984.938263735,-2895753.4762148773,-2895753.4762148773,8247952.9233307345,8247952.9233307345,122990.05843560786,-14192117734.99101,-1032570.39760955,-1032570.39760955,2574007.3203945314,NA,-6990728.061728571,-6990728.061728571,-1479913.9161600892,-1479913.9161600892,-6990699.1830968335,-6990699.1830968335,31607.59565039704,3111943725.894111,-1452955.837220993,-1452955.837220993
log(trace_laplacian + 1),-407607.31579653703,NA,2493632.954836537,2493632.954836537,257969.214140018,257969.214140018,2493623.749439012,2493623.749439012,-4565.387344352572,-143947487.06256938,668994.7388278381,668994.7388278381,-191815.02661403222,NA,-2343938.164715825,-2343938.164715825,531370.5197602905,531370.5197602905,-2343929.3741853097,-2343929.3741853097,-40258.81359547792,692109366.8799177,347863.69326344755,347863.69326344755,-411862.2736213254,NA,1988606.5251900472,1988606.5251900472,272029.93457055296,272029.93457055296,1988598.56213886,1988598.56213886,-10949.218934237679,-148115123.7491535,524316.2390032548,524316.2390032548
fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7837726891993345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.4212307408207576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7468707294820573,NA,NA
trace_laplacian,310.5720089659255,NA,-193655.26298072774,-193655.26298072774,-513.3714245318187,-513.3714245318187,-193654.6284525644,-193654.6284525644,-0.0019091572129267703,0.008187195312584876,-2207.2551799935136,-2207.2551799935136,134.4840460320797,NA,181051.93145665977,181051.93145665977,-1045.932824921928,-1045.932824921928,181051.33114538965,181051.33114538965,-0.008526004029584078,-0.07623337906658871,-1649.2511322915561,-1649.2511322915561,314.50060746069613,NA,-154177.45593177728,-154177.45593177728,-542.6627727632117,-542.6627727632117,-154176.90296736112,-154176.90296736112,-0.0038463707645902626,0.007108011864778986,-1762.5907486819751,-1762.5907486819751
I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.576732266000089e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.732314834958037e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.3968102843397916e-9,NA,NA
I(trace_laplacian^2),-2.010509050053979,NA,-237.39686674494112,-237.39686674494112,6.718890649081431,6.718890649081431,-237.39619357951105,-237.39619357951105,5.609339001206692e-13,-6.67193383201918e-13,-1.7173857539067712,-1.7173857539067712,-0.8240584580871008,NA,220.29457826770246,220.29457826770246,13.54826176486476,13.54826176486476,220.2939500622959,220.2939500622959,2.085406582089257e-12,1.7023549222236353e-11,-1.3891838347627739,-1.3891838347627739,-2.0398182053534057,NA,-188.5935901165692,-188.5935901165692,7.116930858663296,7.116930858663296,-188.59299733315797,-188.59299733315797,1.1463509133114858e-12,-7.402956156595746e-14,-1.3808057694416989,-1.3808057694416989
I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,40747833.010625415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625781454.6840936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101170746.08965023,NA,NA
I(1/(trace_laplacian + 0.001)),7330591.166613839,NA,-5308435.649992828,-5308435.649992828,-2320436.0456901044,-2320436.0456901044,-5308413.939438906,-5308413.939438906,-903859.2979198802,1675622619539324.2,-293586.3964676425,-293586.3964676425,3670251.7187649617,NA,5010427.946637397,5010427.946637397,-4806185.133483298,-4806185.133483298,5010407.078521203,5010407.078521203,3697530.3989471863,-6262929520631140,-165893.11191899172,-165893.11191899172,7397335.769992716,NA,-4239095.727186998,-4239095.727186998,-2443499.1483886708,-2443499.1483886708,-4239077.052662772,-4239077.052662772,-756266.2131875503,1666835851784299.8,-230947.1297094229,-230947.1297094229
log(log(fiedler_value + 1) + 1):log(fiedler_value + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,114525.47142364185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,759609.4194164274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126188.84672032681,NA,NA
log(log(fiedler_value + 1) + 1):log(log(trace_laplacian + 1) + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,-1158135441.3442104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5034754568.750039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1199234891.1726358,NA,NA
log(log(fiedler_value + 1) + 1):log(trace_laplacian + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,55560562.764525644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-248020764.18750316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57452131.81427267,NA,NA
log(log(fiedler_value + 1) + 1):fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103551941646764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5271957187363714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11667744245257329,NA,NA
log(log(fiedler_value + 1) + 1):trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.003556786676361633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03323045181877776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0030290775279623056,NA,NA
log(log(fiedler_value + 1) + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,7.394249193975746e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.300993789726154e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.324264231846904e-9,NA,NA
log(log(fiedler_value + 1) + 1):I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2205746144692996e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.348146095157345e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.481166261506932e-15,NA,NA
log(log(fiedler_value + 1) + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,433722.2705616755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2583532.9618223337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514577.22433172725,NA,NA
log(log(fiedler_value + 1) + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-555141038939726.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965061173553440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-526388966030952.9,NA,NA
log(fiedler_value + 1):log(log(trace_laplacian + 1) + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,-1292187.323234658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8994917.755142173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1395756.1852318433,NA,NA
log(fiedler_value + 1):log(trace_laplacian + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(fiedler_value + 1):fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(fiedler_value + 1):trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.674580814563503e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0010593644595061345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6849437550131495e-5,NA,NA
log(fiedler_value + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(fiedler_value + 1):I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.797002697294332e-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0677013727020017e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1156897648910187e-14,NA,NA
log(fiedler_value + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,246895.76142860917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1956070.7759686247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243801.898800505,NA,NA
log(fiedler_value + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-16980443227331.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47249814664194.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22669844009320.523,NA,NA
log(log(trace_laplacian + 1) + 1):log(trace_laplacian + 1),NA,NA,NA,NA,NA,NA,NA,NA,1028.9324527288688,NA,-136535.26174684736,-136535.26174684736,NA,NA,NA,NA,NA,NA,NA,NA,8837.324472058173,NA,-65233.253355527886,-65233.253355527886,NA,NA,NA,NA,NA,NA,NA,NA,2442.096294106297,NA,-106654.8010780587,-106654.8010780587
log(log(trace_laplacian + 1) + 1):fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3516776782207794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6406369736633688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35150364787979405,NA,NA
log(log(trace_laplacian + 1) + 1):trace_laplacian,NA,NA,103913.09216860388,103913.09216860388,NA,NA,103912.75524862677,103912.75524862677,9.397900046767955e-4,NA,1090.5766061013014,1090.5766061013014,NA,NA,-97099.47308360717,-97099.47308360717,NA,NA,-97099.1546230339,-97099.1546230339,0.004170871469367364,NA,817.989828641719,817.989828641719,NA,NA,82716.93579937036,82716.93579937036,NA,NA,82716.64198160927,82716.64198160927,0.0018928848453474679,NA,871.163303828719,871.163303828719
log(log(trace_laplacian + 1) + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.730145687088632e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7522222305921164e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.971082212556745e-9,NA,NA
log(log(trace_laplacian + 1) + 1):I(trace_laplacian^2),0.9054448539404304,NA,NA,NA,-3.1607337539577633,-3.1607337539577633,NA,NA,-1.797045265728367e-13,NA,0.7648932342688741,0.7648932342688741,0.3700943126195536,NA,NA,NA,-6.368413683845455,-6.368413683845455,NA,NA,-6.671361112262183e-13,NA,0.6215219464344698,0.6215219464344698,0.9187521415464035,NA,NA,NA,-3.3484881215312745,-3.3484881215312745,NA,NA,-3.67402137052497e-13,NA,0.6152266979173634,0.6152266979173634
log(log(trace_laplacian + 1) + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-13645943.011327416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-209644673.21280676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33897519.74622448,NA,NA
log(log(trace_laplacian + 1) + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,961992.2359282019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4941193.472436251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686181.3313626607,NA,NA,NA
log(trace_laplacian + 1):fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(trace_laplacian + 1):trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,-4.803423607643527e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1038849918756384e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.670341066690365e-5,NA,NA,NA
log(trace_laplacian + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(trace_laplacian + 1):I(trace_laplacian^2),NA,NA,33.77146483833579,33.77146483833579,NA,NA,33.77137097922854,33.77137097922854,NA,NA,NA,NA,NA,NA,-31.30317283133491,-31.30317283133491,NA,NA,-31.303085424218263,-31.303085424218263,NA,NA,NA,NA,NA,NA,26.820277864327487,26.820277864327487,NA,NA,26.82019508045587,26.82019508045587,NA,NA,NA,NA
log(trace_laplacian + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(trace_laplacian + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,-156790.94180695253,NA,-688259.6542711613,-688259.6542711613,NA,NA,NA,NA,NA,NA,NA,NA,1208925.8612382659,NA,-418361.349027983,-418361.349027983,NA,NA,NA,NA,NA,NA,NA,NA,-64142.87482290927,NA,-543001.4252092158,-543001.4252092158
fiedler_value:trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4832642170051663e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1108290452337566e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4346085004483454e-11,NA,NA
fiedler_value:I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.128143821372292e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.2232094989146914e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.332581098871088e-18,NA,NA
fiedler_value:I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.086808477498583e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.55979583765867e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.098947721816653e-21,NA,NA
fiedler_value:I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fiedler_value:I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-4587311.189233985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5123129.489349497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4612890.387926627,NA,NA
trace_laplacian:I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3116565699586465e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.586095811869318e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.3512939084299038e-19,NA,NA
trace_laplacian:I(trace_laplacian^2),-1.8712282712888398e-5,NA,-0.025743273171558438,-0.025743273171558438,1.6578035731322006e-4,1.6578035731322006e-4,-0.02574321142390576,-0.02574321142390576,3.386163320705783e-24,-1.0763951950973744e-23,-1.658411930834119e-5,-1.658411930834119e-5,-7.250256007528075e-6,NA,0.023660148444903505,0.023660148444903505,3.2815585656963874e-4,3.2815585656963874e-4,0.023660091893537353,0.023660091893537353,1.1604743346592675e-23,7.245311179050626e-25,-1.5113638661754764e-5,-1.5113638661754764e-5,-1.904098665671186e-5,NA,-0.020394889897845256,-0.020394889897845256,1.7620438942539564e-4,1.7620438942539564e-4,-0.020394834724704443,-0.020394834724704443,7.151418112229653e-24,-1.1904086411580234e-23,-1.3473839939072225e-5,-1.3473839939072225e-5
trace_laplacian:I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002156166638801345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03305217564685768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005345186190141341,NA,NA
trace_laplacian:I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I(fiedler_value^2):I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,5.058648952562566e-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.49343137479997e-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.248151991363484e-29,NA,NA
I(fiedler_value^2):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I(fiedler_value^2):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40160343151421696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8284635990928915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43801273186179146,NA,NA
I(trace_laplacian^2):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.161942256611172e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.383791370073338e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.250078866493432e-12,NA,NA
I(trace_laplacian^2):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I(1/(fiedler_value + 0.001)):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Squared,0.17507414906788177,0,0.172855753237826,0.172855753237826,0.17630547603270272,0.17630547603270272,0.1728557520776982,0.1728557520776982,0.16754470776499333,0.20716034062496677,0.1637752904039427,0.1637752904039427,0.2735711708343251,0,0.26908628782335475,0.26908628782335475,0.27683162765335,0.27683162765335,0.26908628620905256,0.26908628620905256,0.2748680933025071,0.30243711458495626,0.2729078331329656,0.2729078331329656,0.17463942158105006,0,0.17146304233860873,0.17146304233860873,0.17676178206495452,0.17676178206495452,0.17146304118635877,0.17146304118635877,0.16661536485964318,0.20750639648252475,0.16207405557500085,0.16207405557500085
