term,AC3Solver_binary_FE0,AC3Solver_binary_FE1,AC3Solver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE1,AC3Solver_dir_info_FE0,AC3Solver_dir_info_FE1,AC3Solver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE1,AC3Solver_inv_overlap_FE0,AC3Solver_inv_overlap_FE1,AC3Solver_overlap_FE0,AC3Solver_overlap_FE1,BacktrackingSolver_binary_FE0,BacktrackingSolver_binary_FE1,BacktrackingSolver_dir_expected_frac_FE0,BacktrackingSolver_dir_expected_frac_FE1,BacktrackingSolver_dir_info_FE0,BacktrackingSolver_dir_info_FE1,BacktrackingSolver_dir_target_frac_FE0,BacktrackingSolver_dir_target_frac_FE1,BacktrackingSolver_inv_overlap_FE0,BacktrackingSolver_inv_overlap_FE1,BacktrackingSolver_overlap_FE0,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_binary_FE0,ForwardCheckingSolver_binary_FE1,ForwardCheckingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE1,ForwardCheckingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE1,ForwardCheckingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE1,ForwardCheckingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE1
(Intercept),-3346745.098061209,2.33857351696105,6625005.6238962775,9650904.862070832,439094.1984568629,365873.0759825763,7303721.976987377,8006138.294697889,22132.61838354511,-6633194585.104595,939352.7566119577,1421977.9784000202,-1472789.308590431,-0.48392245808377937,-8167309.954582912,-2258214.955826341,2503140.74881224,2758152.138582437,-6274323.338415456,-3643556.251521205,-78051.78361013794,26514806520.910847,1757237.4393182318,69925.28818454036,-3863402.25564556,-0.2443183287036722,1621927.4837222598,5780725.182750894,1583550.8967195924,1056314.786551886,3887475.620015247,-773852.989542073,-30548.330552415042,-3227081310.263588,1267878.8285981314,1325706.394717494
log(log(fiedler_value + 1) + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,2510646618.6338067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9421074954.233864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1310117620.236346,NA,NA
log(fiedler_value + 1),NA,NA,NA,NA,NA,NA,NA,NA,NA,6845358.83528819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21769865.683071006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2217604.025245758,NA,NA
log(log(trace_laplacian + 1) + 1),3258456.021799339,NA,-9782941.89597183,-14180923.253135137,-476580.57515214867,-398216.04015409696,-10766454.020141887,-11804113.768043201,-24690.590497768033,3180961313.305674,-1411152.7857820436,-2148868.1974793784,1423236.0427736852,NA,12028601.893039195,3401143.2242830894,-2711964.729695378,-2991746.8861600673,9276428.982596964,5394217.1525204405,93341.74337161401,-12773496282.563568,-2595470.3890255177,18848.10214491043,3761431.088861548,NA,-2397250.614075515,-8422143.724171871,-1716692.9938549052,-1143729.1483031576,-5687022.386175405,1126223.6472327586,39651.280454001884,1532310567.956871,-1904145.4636269556,-1925530.7908680518
log(trace_laplacian + 1),-520519.04323990963,NA,2788275.9747752747,4013928.780080244,87596.63995276306,73453.61798022637,3061284.2257787627,3357101.0447514704,7745.925751497841,-153001336.76970348,525243.0446948844,805668.4356582074,-225097.25669987433,NA,-3415276.6606616117,-995973.9398816456,497207.7534500721,549316.1870815833,-2648087.476321954,-1542995.7386946864,-30880.812580318812,620519320.2698733,947074.144242217,-60700.75121487024,-600864.6984411229,NA,684217.1497877361,2355549.4214245104,314990.5480368628,209537.87761913848,1600018.3358059707,-313785.648228433,-13914.864684152748,-72102108.54548979,708804.1467436437,688619.907830126
fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8006481011389108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.24365715070895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4805945093358399,NA,NA
trace_laplacian,392.28220544501755,NA,-217586.31272859406,-305837.6592577692,-175.77511612280435,-151.01847786707305,-236997.04662418613,-260059.07993934007,0.0014060014434285036,0.010775701029288114,-1536.23408464587,-2183.63401309648,157.54517461251135,NA,262868.8320454397,84898.94536306945,-972.8457996586733,-1085.5555303068443,207627.15041624272,121919.42942510138,-0.007484474383547437,-0.06376502610852917,-3081.492830195562,-789.7997360107956,453.10350770500486,NA,-53688.629053520315,-172022.15466221518,-620.5867086696003,-408.8837154071939,-119450.98620198815,22303.06135896146,-0.005671021020214214,0.0018167383225013239,-2025.7698194783095,-2421.261960726727
I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,1.122628718865e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9111545449726314e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6985575718532588e-9,NA,NA
I(trace_laplacian^2),-2.516498238519131,NA,-268.00992772668786,-366.56427462189095,2.3359499280306797,2.0431205739822857,-289.4715996545668,-317.7279263568134,-3.899213865858301e-13,-1.2825880594274037e-12,-1.2313578023954075,-1.6653627450259896,-0.9588070573898664,NA,318.2594798519866,114.79201858928955,12.543469699533572,14.099989316131623,256.711844578823,152.36724246030994,2.065851787028133e-12,1.3742163169167265e-11,-2.5054423412119613,-0.7575294727393735,-2.9103301348104034,NA,-66.63023841014385,-196.0600266414779,8.058882670758118,5.279211140987992,-140.09678203145864,23.742847251586483,1.9141545740278617e-12,5.290551698858806e-13,-1.5872314557350204,-1.9029539625347072
I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,43717805.69552623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501808395.1111961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69053505.75814119,NA,NA
I(1/(trace_laplacian + 0.001)),9427367.41278085,NA,-5908725.181964384,-8684588.625284294,-788883.5551845216,-651389.8613149378,-6535076.400281178,-7160653.105088086,-2093682.2197803063,1487483912989840.2,-225181.05111556366,-340965.9726810083,4296874.955000968,NA,7317125.638085413,1942081.2205895674,-4514867.186445745,-4955071.875468919,5582078.766491614,3234557.9909713105,1862749.0909290914,-6017648347287312,-413831.69530458795,-99.26290247094482,10886033.293727327,NA,-1444646.113042483,-5282270.215699275,-2851525.6545942198,-1910288.5075037207,-3527373.499893388,705108.3093167143,-1305952.8890650163,948695215880070.25,-302171.8095131858,-306236.21635927394
