rank,prime,time_ns
749481,11373067,90698
963722,14883991,89796
1116579,17420317,90629
1143425,17868293,90758
2339062,38348263,90821
2446037,40217207,89560
2550312,42047539,84837
2590012,42743357,91585
2760677,45746339,85986
3522586,59292089,94954
3644183,61471301,93226
3918450,66399197,91399
4323719,73718131,88026
4369686,74553697,96858
4455067,76099537,96292
4650266,79650821,86590
4652187,79686097,100469
4939140,84916291,89842
5486735,94944893,96535
5572931,96530771,89325
5638242,97729183,92014
5921602,102950201,87314
6182687,107771011,89413
6545754,114499933,92747
6722751,117787447,90584
6897412,121038737,102218
7002785,123001903,91280
7117375,125135707,92877
7632686,134761603,85680
7830125,138462413,85202
8243122,146211979,88193
8412349,149395691,91524
8433878,149801957,91877
8537001,151746389,95155
8872648,158075167,89096
9322627,166584893,92532
9400514,168058697,94686
9929896,178092287,93673
9984828,179136491,92084
10420887,187432811,93443
10861484,195840817,98860
11088153,200174369,93307
11462812,207342643,90187
11566796,209335267,91583
11638953,210718093,95688
11747155,212793121,99814
11818532,214163023,91260
12592490,229034893,103068
12612781,229427837,96143
12732626,231731551,95407
13039449,237644731,91497
13223084,241183289,94277
13246619,241638949,90298
13255364,241807679,92532
13258271,241864897,99884
13627906,249006613,95603
13857853,253453801,98778
14111189,258358157,96519
14251903,261085571,98777
14461610,265151849,91064
14621536,268255651,91302
14772821,271196543,89403
14829493,272297293,95704
14965008,274926341,91481
15144598,278414767,279683
15248657,280439443,114530
15297332,281385011,95418
15373590,282869267,92715
15539389,286100249,96679
15580630,286906159,95093
15726579,289745021,95640
15846271,292079297,101743
15919668,293510717,94486
16185998,298705343,95445
16295509,300841663,94979
16463280,304122311,88848
17678976,327911357,101086
17687471,328078169,94635
17801717,330322103,90192
17819415,330670013,98393
17821725,330715607,94494
18100872,336192223,91548
18541234,344841247,92278
18842038,350758987,90926
18874505,351398039,93192
18885928,351623689,92811
19314139,360057149,93427
19325897,360292019,93673
19612273,365934293,93155
19881686,371251781,87732
20350336,380490037,97758
20393823,381348787,94136
20595693,385341349,99612
20687686,387161477,94451
20734115,388077511,92824
20735466,388104499,87550
20799299,389367673,99327
20997521,393294331,95048
21141788,396150571,93563
21667703,406567157,91576
21817689,409544413,95533
22017513,413507579,93975
22212243,417367351,90561
22418537,421469431,96628
22509529,423276143,94268
22579782,424667951,98270
22660148,426262951,95280
22794912,428942653,96412
22878538,430607831,93621
23004696,433118627,92461
23154474,436097509,97351
23169612,436396999,90742
23360863,440204729,98955
23552252,444008683,91097
23585394,444668173,90467
23710196,447156529,98563
23998948,452909879,96342
24257473,458063621,97491
24452793,461961139,93916
24520160,463302053,93276
24634471,465583621,92605
25020671,473295659,92659
25467781,482227157,93219
26407525,501034169,100496
27018733,513303163,94434
27309607,519137917,94527
27327648,519498647,94654
27409487,521143699,88356
27440761,521770831,95557
27469273,522345881,90146
27507198,523104391,93647
27583737,524640329,93476
27791853,528819509,90846
27881547,530618863,93338
27906119,531115373,98101
27982642,532651853,95615
28207200,537161657,88475
28286970,538765061,93568
28354441,540121559,90552
28891501,550925147,92358
30321801,579751343,95032
30421371,581759099,92767
30457156,582482413,94529
30598313,585332233,97445
30688896,587161397,100164
31118434,595828927,91733
31197307,597418747,95559
31512324,603785981,98337
31711578,607816381,91410
31908768,611809213,101048
31919284,612021547,92857
32304018,619809331,91642
32410601,621970159,91841
32722930,628290653,92749
32759059,629022973,92563
32911628,632115317,93582
32955752,633012959,93777
32957081,633039391,94357
33045235,634827667,94006
33138838,636722701,97659
33408495,642191219,94174
33452005,643071731,94277
33939299,652959247,95433
33982743,653840263,92923
34561036,665581949,99888
34840852,671267309,95654
35051343,675550657,99313
35380401,682249129,96776
35938882,693607841,94814
36135304,697602571,89299
36225496,699440449,100070
36293573,700829309,91737
36448212,703976167,94626
36518683,705413659,90958
36538873,705823093,88599
36584338,706749367,90170
36711302,709334377,91871
36773550,710606723,94360
36778156,710700559,94306
37008008,715389439,96548
37299644,721335599,94547
37348351,722328371,94596
37377045,722913031,92789
37908308,733760519,95062
38021248,736065739,97865
38056779,736792249,98613
38070423,737071303,94077
38111334,737907887,97254
38130363,738294983,91897
38306254,741879139,91350
38443384,744683347,93435
38470377,745237763,93000
39171602,759578311,93489
39181443,759779399,90338
39193448,760025257,97837
39291752,762033887,97195
39963540,775783213,96469
40410310,784926871,89613
40410437,784929647,93721
40675434,790351943,93340
40775736,792406801,97733
40821399,793343363,93159
41129652,799660091,94828
41388997,804975113,98805
42107202,819705457,95691
42183814,821277731,92989
42252391,822685849,94532
42391568,825546419,92710
42552074,828842029,93973
42586592,829550143,94647
42788181,833688853,95474
42872379,835418357,94135
43481057,847931191,94419
43547074,849284327,92942
43574070,849837679,96049
43588475,850133657,95273
43689955,852223121,99016
43914236,856834183,88367
43987989,858352421,95222
44035087,859322221,97786
44371996,866260903,93114
44415985,867163663,96828
44889267,876909749,89688
45391730,887266151,94326
45740140,894445921,93110
46079681,901448593,94511
46128325,902454697,100268
46372740,907493063,95857
46553218,911209031,93441
46554709,911239733,92169
46721502,914677399,93524
47354143,927736549,91794
47442779,929571961,89530
47629048,933417893,93284
47764881,936220283,95678
48335378,948011833,96056
48616888,953835601,94175
48858181,958820141,93621
49001370,961778101,97624
49401427,970053947,95113
49424588,970530193,94490
49755005,977377189,91364
50223969,987082669,100153
51160252,1006482353,104647
51878346,1021368463,93336
51879241,1021385921,102158
52116320,1026304339,92782
52891450,1042391591,90881
53332034,1051548989,94513
53473830,1054492871,93168
53476284,1054544419,92152
53509619,1055240393,99125
53609649,1057323521,115297
53754676,1060335257,93729
53950047,1064396029,97023
54180654,1069181213,99124
54661878,1079194267,149315
54755442,1081141393,145267
54866201,1083437309,146022
55156784,1089480937,147190
55271035,1091856593,148159
55730600,1101422143,151603
55808170,1103035277,156754
55910759,1105168847,150785
56042430,1107910373,147491
56313956,1113567097,153780
56539181,1118262979,147835
56852569,1124794963,137857
57005684,1127986513,155592
57274642,1133596447,152801
57435465,1136962213,147672
57915882,1146987869,146496
58223556,1153399453,151685
58284818,1154678363,154391
58559903,1160421179,151844
58970894,1168996193,155827
59076690,1171203629,149185
59220949,1174210943,154065
59326107,1176407399,147841
59420894,1178391673,152064
59472657,1179469573,140622
59651795,1183218637,153095
59709757,1184431459,151173
59747841,1185228251,148058
60214907,1194989843,142563
60521591,1201399159,153379
61096390,1213423303,147223
61164485,1214846861,142298
61247915,1216591867,154940
61327426,1218253501,144993
61436471,1220530009,156382
61732119,1226728589,143577
62231513,1237180631,154935
62543990,1243731581,148935
62716882,1247345719,153343
62946649,1252156067,145453
63477199,1263274031,145396
63880690,1271720851,155078
63970019,1273596449,136396
64793085,1290857459,153755
64802716,1291058737,153583
65807105,1312136807,156868
65843638,1312904821,150841
65940892,1314948403,145610
66315746,1322823169,162204
66492366,1326536567,155488
66933422,1335800779,157265
68037048,1358986927,147403
68307496,1364674001,161200
68762208,1374244297,145401
68838093,1375844551,144372
68940851,1378009693,150495
69091760,1381186241,145099
69204972,1383566959,156928
69568436,1391220557,152469
69972292,1399722923,154331
70061837,1401611347,145251
70163128,1403744981,157304
70385006,1408422247,156269
71069168,1422836567,155989
71267891,1427028367,152878
71481347,1431524173,154093
71615802,1434362929,144870
71813348,1438529017,153462
71910747,1440582953,158894
71993058,1442321533,159076
72045284,1443419623,150665
72128660,1445180549,148335
72216811,1447035761,146061
72229898,1447312753,143329
72348787,1449818813,160392
72774943,1458810109,164089
73314748,1470208237,160293
73514778,1474431587,147418
73925962,1483105763,151711
73929156,1483172611,150320
73954322,1483703489,163745
74032609,1485357883,151216
74123941,1487280191,153407
74405397,1493219383,145155
74768370,1500884023,156499
75037977,1506579241,159701
75260351,1511288081,140048
75382938,1513880827,163851
75493412,1516214053,158791
75580264,1518050671,161140
75849875,1523746561,161906
75916735,1525160213,146767
76019615,1527335827,152451
76182064,1530762137,161683
76221782,1531607923,158464
76402700,1535434903,150050
76519367,1537904747,152850
76840334,1544698541,150057
77085435,1549880627,151285
77683009,1562533429,156971
77738822,1563716573,164288
78159902,1572637379,155770
79234985,1595404007,164151
79251243,1595747327,161999
79265542,1596049919,160666
79553400,1602154843,163207
79770873,1606758523,156845
80128519,1614345763,148114
80133011,1614442097,155492
80273492,1617421231,158362
80277673,1617510007,154073
80390193,1619900549,154934
80544036,1623157999,163690
80604943,1624450297,151273
80728986,1627083049,156817
80811040,1628822389,160659
80880226,1630290397,146624
81198996,1637043491,145617
81351568,1640282263,149434
81546272,1644414833,150887
81605006,1645663997,155215
81895193,1651824991,156001
81991010,1653863803,162320
82211805,1658549749,159608
82228736,1658908861,157295
82575794,1666279427,141149
82624330,1667309297,153237
82625823,1667341601,154614
82767375,1670350193,165028
82779017,1670597297,160377
82833780,1671759307,150450
82839323,1671877651,151964
82992397,1675131347,156972
83194836,1679426729,141154
83199119,1679517251,147440
83549124,1686954583,151826
83660655,1689318803,152613
84139142,1699491929,154310
84167399,1700092943,154851
84448416,1706062493,157914
84632168,1709962229,162759
84672766,1710825167,162123
84685622,1711099751,160678
84689434,1711180153,163909
84727967,1711998451,150720
85157870,1721137169,159492
85223906,1722538877,164605
85281215,1723762507,160377
85292614,1724002669,147648
85304884,1724263841,164636
85377351,1725809627,159441
85410099,1726504523,154803
85509274,1728615841,142760
85573975,1729990177,164301
85703521,1732751549,162687
85728920,1733290697,163596
86206344,1743452441,167861
86316052,1745784143,151515
86578290,1751366069,153748
86604993,1751935909,158422
86668483,1753287241,147051
86683536,1753607087,155870
86714365,1754265031,155578
87139837,1763319139,152963
87232836,1765298597,146459
87244304,1765543729,156468
87262860,1765937137,152272
87277131,1766240753,165039
87655144,1774294213,147934
87883054,1779148849,151334
87901370,1779538039,151200
88105123,1783875619,146542
88459224,1791421739,157762
88531153,1792950449,161067
89201723,1807235387,158507
89588539,1815482239,159782
89854156,1821152503,153525
90048522,1825295977,163328
90053471,1825400777,165338
90223114,1829019893,145376
90288398,1830413063,154013
90347928,1831683793,161392
90496271,1834845127,157274
90697973,1839147857,167739
90876558,1842959311,160533
91214092,1850166403,150162
91309299,1852195937,152743
91853777,1863816421,154669
91887366,1864533499,160816
91962503,1866143287,156427
92678260,1881426667,148565
92797172,1883969753,157063
92878946,1885718309,150355
93076140,1889926013,156925
93681462,1902855641,154917
93719660,1903672711,161937
93822507,1905867647,164157
93908962,1907718859,160239
94086025,1911501113,164214
94623562,1923000691,159907
94649264,1923548681,153772
95110768,1933411631,158757
95587469,1943610737,162486
95822744,1948641041,147055
96026944,1953002431,159789
96125937,1955123461,145273
96370159,1960349647,163584
96513178,1963412131,153469
96634884,1966016753,165297
97058711,1975081351,160517
97152128,1977083071,169364
97316538,1980598211,159032
97531259,1985194769,164659
97701785,1988847209,161848
97792872,1990799039,164689
98393208,2003647949,170009
98468253,2005255691,155719
98504733,2006033977,162518
98589590,2007849551,165043
99002321,2016683407,153739
99761263,2032957799,158886
99960455,2037227399,164762
100008845,2038264597,158305
100104942,2040324589,168943
100190254,2042158207,163489
100356697,2045719217,158430
100377089,2046157913,170539
100422258,2047126687,157427
100566616,2050218011,157692
100882116,2056986157,154944
101360477,2067252337,158717
101438253,2068924189,163333
101802939,2076746783,161825
101873777,2078267333,173928
102187185,2084989591,155736
102322661,2087898601,169750
103114179,2104877161,166980
103126489,2105140771,163377
103521300,2113611187,169104
103665712,2116708739,155555
104056462,2125109003,159466
104201771,2128231459,160610
104250502,2129281171,158487
104323418,2130848149,157448
104847096,2142107683,164799
104888705,2143003327,166915
104893906,2143113743,161442
104940857,2144120581,156196
104957197,2144472053,169627
105229569,2150318539,148335
105282216,2151452021,159045
105340687,2152704937,158350
105342170,2152737179,148544
105372244,2153387063,148168
105516642,2156488129,152502
105896269,2164648349,157801
105972316,2166283237,157464
106026386,2167445927,149843
106177986,2170703419,156029
106198268,2171137061,164645
106236975,2171971393,178666
106487707,2177359721,171944
107041351,2189271289,155688
107103525,2190610693,149029
107750045,2204525243,156591
107796979,2205534811,156998
108069837,2211404401,168501
108121969,2212525207,157246
108197303,2214145949,167352
108252652,2215341449,147450
108281543,2215965391,157044
108414810,2218830151,147840
108475929,2220140281,159107
108793263,2226973247,162306
108858093,2228369873,153956
108909753,2229478099,153377
108920090,2229700379,159061
108939820,2230125509,157830
108963196,2230630271,165104
109361814,2239211869,159325
109564299,2243572673,171426
109735240,2247248713,158813
109867770,2250102559,161701
109882009,2250409639,150054
109946337,2251789369,152454
109991298,2252757677,153942
110173617,2256686651,156060
110326184,2259976561,164501
110948109,2273350787,146653
111168210,2278086101,159658
111222979,2279269589,167019
111433945,2283825127,151616
111841246,2292595693,158844
111910029,2294077453,153249
112101128,2298196399,161710
112128669,2298787987,146037
112231063,2300993743,152040
112249974,2301403607,156878
112428473,2305253479,157332
112433688,2305366813,156581
112759863,2312398279,162118
112913297,2315701979,155248
112980847,2317156537,149730
113136549,2320524781,166400
113983914,2338803739,154418
114024150,2339669989,159607
114032131,2339844037,167927
114144930,2342280469,161385
114257256,2344705787,163433
114421137,2348243701,174868
114648978,2353157267,150427
114743238,2355195389,159290
114874668,2358030617,159803
114921893,2359049989,153301
115171654,2364447731,167030
115549070,2372589671,158826
115710700,2376078629,147800
115766106,2377272791,159947
115818529,2378404943,155704
116172015,2386036703,159848
116252769,2387779739,152623
116466048,2392387423,165224
117087634,2405820611,156582
117231928,2408937761,170542
117364493,2411801659,158749
117493047,2414581249,175758
117530452,2415391379,166167
117844036,2422167353,161386
117890373,2423166749,154698
118004092,2425619671,152622
118009202,2425729729,161807
118463425,2435548961,143876
118524903,2436878123,166000
118564688,2437736837,152092
118853081,2443969651,151186
118903408,2445055513,148049
118964455,2446372373,151788
119385264,2455475221,162189
119552578,2459092277,150786
119562562,2459308363,153562
119866602,2465892217,171321
119953724,2467775209,166060
120068238,2470250303,164162
120082117,2470549097,160766
120486862,2479294469,150339
120606579,2481881419,159199
120780371,2485640609,166841
120973217,2489822143,168578
121021965,2490877643,164241
121181275,2494325489,164349
121385523,2498748191,170968
121941671,2510782279,168242
122004203,2512137403,161247
122098324,2514169079,168716
122295207,2518427411,156979
122300818,2518548853,153951
122373509,2520125371,166203
122422804,2521190869,160279
122456465,2521919261,160103
122911194,2531762173,175834
123266921,2539458331,163290
123435265,2543101739,161181
123755880,2550044171,164906
123829684,2551644923,156787
124303264,2561897743,160918
124320329,2562266141,152348
124475883,2565635977,170587
125134913,2579906761,163182
125674205,2591591291,161436
125739755,2593010569,159437
125902348,2596537501,157407
126011983,2598913717,165138
126123431,2601330911,159707
126188072,2602732211,156855
126500120,2609506271,169343
127044334,2621303059,159681
127244518,2625646867,148644
127375056,2628478507,159243
127596438,2633281219,160529
127622145,2633835881,166102
127826932,2638284017,161574
127867492,2639167387,170087
127909075,2640068413,173876
127949724,2640951967,168303
128382399,2650343369,170455
128394174,2650598957,176159
128438460,2651562491,161184
128460049,2652031667,158113
128561467,2654233577,169671
128836724,2660202073,171659
128903250,2661647291,166153
129289172,2670024439,171190
129454666,2673617593,161581
129539459,2675454739,160364
129589051,2676528083,162539
129709890,2679151337,165730
129877862,2682799423,162565
130072821,2687038741,158783
130255033,2690986267,151417
131245237,2712485639,161676
131390266,2715637139,159802
131638007,2721020417,176307
131899693,2726707771,152631
131910432,2726941853,160358
132077968,2730593233,164124
132082685,2730696317,163472
132266787,2734692047,151581
132400174,2737596077,156743
132514454,2740076623,152004
132555899,2740973351,166095
132680452,2743684313,164720
132684431,2743772023,160796
133225553,2755541057,156849
133675486,2765325677,163812
134306462,2779035239,163085
134331077,2779572283,158910
134832129,2790468209,165517
135575465,2806629461,151402
135840726,2812409947,163997
136035711,2816649149,173426
136093065,2817896953,172849
136236848,2821021253,153468
136333334,2823115877,156934
136556943,2827984541,169554
136704402,2831193077,161404
136946743,2836472591,154529
137283553,2843807357,157146
137580415,2850266803,165147
137813762,2855343493,151274
138034563,2860151029,167769
138199192,2863730479,161438
138351589,2867049931,165912
138633965,2873198719,157282
138793166,2876666057,167918
139083670,2882995679,170097
139552817,2893219601,159281
140085448,2904819821,156473
140095167,2905033013,161802
140477305,2913362149,155645
140986721,2924469143,174995
141022255,2925240359,161035
141387536,2933198839,169462
141478010,2935170451,163513
141518278,2936051537,159948
141683603,2939656939,172290
141777047,2941686161,153156
141852848,2943341431,174040
142082406,2948347601,159572
142521251,2957927113,162614
142629390,2960284661,166662
142903476,2966256547,164379
143021018,2968819817,159625
143208060,2972907269,156008
143444072,2978054551,154640
143453612,2978261809,159571
143671077,2983003873,162092
143728930,2984264861,152534
143735557,2984410189,156344
143766339,2985084551,159735
144395716,2998822273,172471
144443332,2999865793,171344
144491884,3000923797,167490
144624932,3003830161,169269
145712783,3027584953,167968
145777173,3028987933,153992
145828190,3030104773,167421
145852916,3030647093,148245
146007493,3034014337,172101
146583838,3046592579,155574
146637448,3047763541,167141
146830178,3051974069,171894
147070731,3057224227,157594
147259873,3061361087,167225
147384289,3064071331,152045
147396114,3064332577,158409
147460947,3065745359,168054
147978876,3077050429,160350
147987530,3077240233,175093
148151432,3080822083,162737
148444649,3087227267,153245
148563082,3089819591,163479
148946103,3098196403,166420
149130187,3102227771,164886
149139652,3102435433,168742
149219680,3104184493,158419
150041156,3122139257,161748
150213942,3125909477,167544
150247015,3126633833,169789
150829441,3139376263,161874
151175089,3146935747,162509
151918234,3163182227,156863
152146048,3168161693,174013
152827770,3183083681,169856
152846731,3183499877,162801
153233924,3191965759,155036
153433260,3196332691,157105
153730723,3202840379,174779
